date,paid_in,cash,stocks,total,xu100_book,positions
2025-04-02,15000.0,15000.0,0.0,15000.0,14970.0,0
2025-04-03,15000.0,180.65,14789.77,14970.42,14908.69,3
2025-04-04,15000.0,180.65,14497.83,14678.48,14744.43,3
2025-04-07,15000.0,180.65,14854.07,15034.72,14787.5,3
2025-04-08,15000.0,180.65,14832.7,15013.36,14897.38,3
2025-04-09,15000.0,180.65,14864.03,15044.68,14580.48,3
2025-04-10,15000.0,180.65,14896.27,15076.93,14679.66,3
2025-04-11,15000.0,180.65,15017.98,15198.64,14746.31,3
2025-04-14,15000.0,180.65,15322.85,15503.5,14813.28,3
2025-04-15,15000.0,180.65,15339.31,15519.97,14766.43,3
2025-04-16,15000.0,338.65,14826.94,15165.59,14565.7,3
2025-04-17,15000.0,338.65,14917.1,15255.75,14769.89,3
2025-04-18,15000.0,338.65,14620.63,14959.29,14646.02,3
2025-04-21,15000.0,338.65,14498.25,14836.9,14652.94,3
2025-04-22,15000.0,338.65,14354.85,14693.5,14638.01,3
2025-04-24,15000.0,338.65,14809.33,15147.99,14919.07,3
2025-04-25,15000.0,338.65,14433.29,14771.94,14827.43,3
2025-04-28,15000.0,338.65,14213.18,14551.83,14629.99,3
2025-04-29,15000.0,338.65,13944.19,14282.85,14500.78,3
2025-04-30,15000.0,338.65,14324.62,14663.27,14270.65,3
2025-05-02,30000.0,15338.65,14217.73,29556.38,29380.86,3
2025-05-05,30000.0,49.4,29676.78,29726.18,29203.32,6
2025-05-06,30000.0,49.4,30535.43,30584.84,29275.42,6
2025-05-07,30000.0,276.19,31079.1,31355.29,29082.81,6
2025-05-08,30000.0,276.19,32490.27,32766.46,29738.53,6
2025-05-09,30000.0,276.19,32628.42,32904.61,30095.23,6
2025-05-12,30000.0,276.19,35441.21,35717.39,31238.08,6
2025-05-13,30000.0,276.19,35603.41,35879.6,31087.77,6
2025-05-14,30000.0,276.19,35989.83,36266.02,31092.26,6
2025-05-15,30000.0,276.19,34724.03,35000.22,30578.52,6
2025-05-16,30000.0,276.19,34614.1,34890.29,30985.86,6
2025-05-20,30000.0,276.19,34074.06,34350.25,30491.03,6
2025-05-21,30000.0,276.19,34471.93,34748.12,30122.15,6
2025-05-22,30000.0,276.19,33651.98,33928.17,30366.68,6
2025-05-23,30000.0,276.19,32949.45,33225.64,29984.66,6
2025-05-26,30000.0,276.19,32567.32,32843.5,29950.05,6
2025-05-27,30000.0,276.19,32420.33,32696.52,29528.29,6
2025-05-28,30000.0,276.19,31776.99,32053.18,29413.23,6
2025-05-29,30000.0,276.19,30986.26,31262.45,29390.48,6
2025-05-30,30000.0,276.19,30682.54,30958.73,28906.54,6
2025-06-02,45000.0,15276.19,30094.97,45371.16,43842.25,6
2025-06-03,45000.0,644.79,45544.38,46189.17,45146.97,9
2025-06-04,45000.0,644.79,47176.99,47821.78,46110.55,9
2025-06-05,45000.0,644.79,48295.51,48940.3,46167.0,9
2025-06-10,45000.0,644.79,49295.8,49940.59,47007.45,9
2025-06-11,45000.0,669.81,49033.55,49703.36,47137.88,9
2025-06-12,45000.0,669.81,48005.44,48675.25,46330.52,9
2025-06-13,45000.0,669.81,46538.73,47208.54,45316.82,9
2025-06-16,45000.0,669.81,46881.42,47551.23,45502.23,9
2025-06-17,45000.0,1215.06,46385.58,47600.64,45451.62,9
2025-06-18,45000.0,1215.06,45574.2,46789.26,44753.27,9
2025-06-19,45000.0,1215.06,45370.3,46585.36,44295.33,9
2025-06-20,45000.0,1313.24,45351.93,46665.17,44788.8,9
2025-06-23,45000.0,1313.24,44998.56,46311.8,44486.58,9
2025-06-24,45000.0,1313.24,46311.42,47624.66,45983.54,9
2025-06-25,45000.0,1313.24,46272.3,47585.54,45835.59,9
2025-06-26,45000.0,1313.24,46139.77,47453.01,45264.26,9
2025-06-27,45000.0,1313.24,45897.13,47210.37,45769.41,9
2025-06-30,45000.0,1313.24,47737.8,49051.04,48414.86,9
2025-07-01,60000.0,16313.24,48622.23,64935.47,64026.76,9
2025-07-02,60000.0,840.34,64678.7,65519.03,64716.54,12
2025-07-03,60000.0,840.34,64971.65,65811.99,64966.8,12
2025-07-04,60000.0,840.34,65827.25,66667.58,65267.86,12
2025-07-07,60000.0,840.34,64909.3,65749.64,64200.16,12
2025-07-08,60000.0,3889.15,60574.69,64463.84,63504.66,12
2025-07-09,60000.0,3889.15,61042.43,64931.57,64578.71,12
2025-07-10,60000.0,3889.15,61661.14,65550.29,65620.38,12
2025-07-11,60000.0,3889.15,61234.19,65123.34,65793.14,12
2025-07-14,60000.0,3889.15,61467.74,65356.89,64948.38,12
